"Country","1990","1995","2000","2005","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Afghanistan",0,0,0,0,0,0,0,0,0,0,0,0,0
"Albania",0,0,0,0,0,0,0,0,0,0,1,1,1
"Algeria",1,1,1,1,1,1,1,1,1,1,1,1,1
"American Samoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Angola",0,0,1,1,1,1,1,1,1,1,1,1,1
"Antigua and Barbuda",0,0,0,0,0,0,0,0,0,0,0,0,0
"Arab World",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Argentina",1,1,1,1,1,1,1,1,1,1,1,1,1
"Armenia",0,0,0,0,0,0,0,0,0,0,0,0,0
"Aruba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Australia",0,0,1,1,1,1,1,1,1,1,1,1,1
"Austria",1,1,1,1,1,1,1,1,1,1,1,1,1
"Azerbaijan",0,0,0,0,0,0,0,0,0,0,0,0,0
"Bahamas, The",0,0,0,0,0,0,0,0,0,0,0,0,0
"Bahrain",0,0,0,0,0,0,0,0,0,0,0,0,0
"Bangladesh",0,0,0,0,0,0,0,0,0,0,0,0,0
"Barbados",0,0,0,0,0,0,0,0,0,0,0,0,0
"Belarus",0,1,1,1,1,1,1,1,1,1,1,1,1
"Belgium",0,0,0,0,1,1,1,1,1,1,1,1,1
"Belize",0,0,0,0,0,0,0,0,0,0,0,0,0
"Benin",0,0,1,1,1,1,1,1,1,1,1,1,1
"Bermuda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bhutan",0,0,0,0,1,1,1,1,1,1,1,1,1
"Bolivia",0,0,0,0,1,1,1,1,1,1,1,1,1
"Bosnia and Herzegovina",0,0,0,1,1,1,1,1,1,1,1,1,1
"Botswana",0,0,0,0,0,0,0,0,0,0,0,0,0
"Brazil",0,0,0,0,0,0,0,0,0,0,0,0,0
"British Virgin Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brunei Darussalam",0,0,0,0,0,0,0,0,0,0,0,0,0
"Bulgaria",0,0,0,1,1,1,1,1,1,1,1,1,1
"Burkina Faso",0,0,0,0,0,0,0,0,0,0,0,0,0
"Burundi",0,0,0,0,0,0,0,0,0,0,0,0,0
"Cabo Verde",0,0,0,0,0,0,0,0,0,0,0,0,0
"Cambodia",0,0,0,0,0,0,0,0,0,0,0,0,0
"Cameroon",0,0,0,0,0,0,0,0,0,0,0,0,0
"Canada",1,1,1,1,1,1,1,1,1,1,1,1,1
"Caribbean small states",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cayman Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Central African Republic",0,0,0,0,0,0,0,0,0,0,0,0,0
"Central Europe and the Baltics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chad",0,0,1,1,1,1,1,1,1,1,1,1,1
"Channel Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chile",0,0,0,0,0,0,0,0,0,0,0,0,0
"China",0,0,0,0,0,0,0,0,0,0,0,0,0
"Colombia",0,0,0,0,0,0,0,0,0,0,0,0,0
"Comoros",0,0,0,0,0,0,0,1,1,1,1,1,1
"Congo, Dem. Rep.",0,0,0,0,0,0,0,0,0,0,0,0,0
"Congo, Rep.",0,0,0,0,0,0,0,0,0,0,0,0,0
"Costa Rica",0,0,0,0,0,0,0,0,0,0,0,0,0
"Cote d'Ivoire",0,1,1,1,1,1,1,1,1,1,1,1,1
"Croatia",0,1,1,1,1,1,1,1,1,1,1,1,1
"Cuba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Curacao",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyprus",1,1,1,1,1,1,1,1,1,1,1,1,1
"Czech Republic",1,1,1,1,1,1,1,1,1,1,1,1,1
