"Country","1990","1995","2000","2005","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Afghanistan",0,0,0,0,0,0,0,0,0,0,1,1,1
"Albania",0,0,1,1,1,1,1,1,1,1,1,1,1
"Algeria",0,0,0,1,1,1,1,1,1,1,1,1,1
"American Samoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Angola",0,0,0,0,0,0,0,0,0,0,0,0,0
"Antigua and Barbuda",0,0,0,0,0,0,0,0,0,0,0,0,0
"Arab World",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Argentina",0,0,0,0,1,1,1,1,1,1,1,1,1
"Armenia",0,0,0,1,1,0,0,0,0,0,0,0,0
"Aruba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Australia",1,1,1,1,1,1,1,1,1,1,1,1,1
"Austria",0,1,1,1,1,1,1,1,1,1,1,1,1
"Azerbaijan",0,0,0,0,1,1,1,1,1,1,1,1,1
"Bahamas, The",0,1,1,1,1,1,1,1,1,1,1,1,1
"Bahrain",0,0,0,0,0,0,0,0,0,0,0,0,0
"Bangladesh",0,0,0,0,1,1,1,1,1,1,1,1,1
"Barbados",0,0,0,0,0,0,0,0,0,0,0,0,1
"Belarus",0,0,0,0,0,0,0,0,0,0,0,0,0
"Belgium",0,0,0,1,1,1,1,1,1,1,1,1,1
"Belize",0,0,1,1,1,1,1,1,1,1,1,1,1
"Benin",0,0,0,0,1,1,1,1,1,1,1,1,1
"Bermuda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bhutan",0,0,0,0,1,1,1,1,1,1,1,1,1
"Bolivia",0,0,0,0,0,0,0,1,1,1,1,1,1
"Bosnia and Herzegovina",0,0,0,1,1,1,1,1,1,1,1,1,1
"Botswana",0,0,0,0,0,0,0,0,0,0,0,0,0
"Brazil",0,0,0,1,1,1,1,1,1,1,1,1,1
"British Virgin Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brunei Darussalam",0,0,0,0,0,0,0,0,0,0,0,0,0
"Bulgaria",0,0,0,1,1,1,1,1,1,1,1,1,1
"Burkina Faso",0,0,0,1,1,1,1,1,1,1,1,1,1
"Burundi",0,0,0,0,1,1,1,1,1,1,1,1,1
"Cabo Verde",0,0,0,1,1,1,1,1,1,1,1,1,1
"Cambodia",0,0,1,1,1,1,1,1,1,1,1,1,1
"Cameroon",0,0,0,0,0,0,0,0,0,0,0,1,1
"Canada",1,1,1,1,1,1,1,1,1,1,1,1,1
"Caribbean small states",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cayman Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Central African Republic",0,0,0,0,1,1,1,1,1,1,1,1,1
"Central Europe and the Baltics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chad",0,0,0,0,0,0,0,0,0,0,0,1,1
"Channel Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chile",0,0,0,1,1,1,1,1,1,1,1,1,1
"China",0,0,0,0,0,0,1,1,1,1,1,1,1
"Colombia",0,0,0,0,1,1,1,1,1,1,1,1,1
"Comoros",0,0,0,0,0,0,0,1,1,1,1,1,1
"Congo, Dem. Rep.",0,0,0,1,1,1,1,1,1,1,1,1,1
